compound,a,nominal_PBE_bg,nominal_HSE06_bg,polymorphous_PBE_bg,polymorphous_HSE06_bg,,,
AgMgF3,3.9764,2.07,4.22,1.9551,4.0564,,,
AgZnF3,4.0717,1.55,3.87,1.3971,3.4962,,,
BaLiBr3,5.2209,3.49,4.60,4.447,5.6497,,,
BaLiCl3,4.9126,4.29,5.56,5.1648,6.4987,,,
BaLiF3,4.0491,6.58,8.66,6.6063,8.6518,,,
CsCaF3,4.5835,6.89,8.97,6.9065,8.97,,,
CsCaI3,6.2298,3.72,4.72,3.8371,4.82,,,
CsHgCl3,5.4000,0.00,0.51,1.2064,2.22,,,
CsMgBr3,5.4452,2.48,3.65,2.4773,3.65,,,
CsMgCl3,5.1277,3.93,5.31,3.9254,5.31,,,
CsMgF3,4.2481,6.69,8.82,6.7204,8.83,,,
CsMgI3,5.9144,1.14,2.03,1.4011,2.27,,,
CsNaF3,4.5381,0.00,0.00,0,0.00,,,
CsPbI3,6.3890,1.48,2.00,1.8702,2.46,,,
InPbI3,6.3156,1.39,1.90,1.9403,2.58,,,
TlPbI3,6.3219,1.40,1.91,2.1328,2.76,,,
CsPbCl3,5.7210,2.19,2.92,2.5522,3.35,,,
CsPbF3,4.8649,2.87,3.98,3.06,4.19,,,
CsSnCl3,5.6204,0.99,1.56,1.7074,2.38,,,
CsSrF3,4.8298,6.19,8.20,6.2485,8.24,,,
CsSrI3,6.4744,3.61,4.58,3.7709,4.76,,,
CsTlBr3,5.8869,0.00,0.00,0.1221,0.20,,,
CsZnBr3,5.3825,0.00,1.23,2.0274,3.22,,,
CsZnCl3,5.0797,1.26,2.72,2.9103,4.35,,,
CsZnI3,5.8277,0.00,0.00,2.0555,3.05,,,
InCaBr3,5.6900,3.10,4.14,3.3548,4.19,,,
InCaCl3,5.3913,3.77,4.76,3.6721,4.56,,,
InCaF3,4.5002,3.58,4.60,3.1748,4.11,,,
InCdBr3,5.5303,0.81,1.95,1.4395,2.29,,,
InCdCl3,5.2490,1.84,3.08,1.4218,2.41,,,
InCdF3,4.4818,3.21,4.27,2.3286,3.31,,,
InGeCl3,5.2522,0.88,1.43,2.4197,3.22,,,
InMgCl3,5.0128,3.58,4.47,3.4624,4.36,,,
InMgF3,4.1118,2.90,3.85,2.907,3.85,,,
InPbCl3,5.6654,1.71,2.44,2.8993,3.72,,,
InPbF3,4.8137,1.62,2.54,2.93,3.80,,,
InSnCl3,5.5576,0.64,1.19,2.5778,3.35,,,
InSnF3,4.7012,0.54,1.18,2.5931,3.35,,,
InZnF3,4.1782,2.74,3.75,2.69,3.68,,,
KCaBr3,5.7175,3.89,5.04,4.3378,5.51,,,
KCaCl3,5.4040,4.75,6.04,5.212,6.53,,,
KCaF3,4.4819,6.14,8.18,6.4045,8.45,,,
KCdBr3,5.5597,0.75,1.91,1.5936,2.62,,,
KCdCl3,5.2613,1.79,3.14,2.2836,3.58,,,
KCdF3,4.4693,3.06,5.07,3.1977,5.18,,,
KCdI3,5.9982,0.00,0.55,1.9506,2.92,,,
KGaBr3,5.4261,0.00,0.00,0.9179,1.46,,,
KGeBr3,5.5391,0.60,1.08,1.952,2.66,,,
KHgBr3,5.6300,0.00,0.00,1.6168,2.62,,,
KHgCl3,5.3415,0.00,0.52,1.9222,3.09,,,
KHgI3,6.0394,0.00,0.00,1.6401,2.53,,,
KMgCl3,5.0186,4.23,5.63,4.338,5.74,,,
KMgF3,4.0454,6.98,9.24,7.0083,9.25,,,
KPbCl3,5.6810,2.15,2.88,3.0431,3.90,,,
KSrCl3,5.6863,4.43,5.71,4.8847,6.19,,,
KSrF3,4.7670,5.45,7.43,5.7987,7.78,,,
KZnBr3,5.2919,0.13,1.33,2.6405,3.90,,,
KZnF3,4.1316,3.65,6.08,3.6536,6.09,,,
LiZnF3,4.0312,3.12,5.44,3.7875,6.12,,,
NaCaF3,4.4324,4.97,7.00,5.6637,7.64,,,
NaZnF3,4.0529,3.19,5.53,3.5325,5.86,,,
PbLiF3,3.9016,3.88,5.31,4.2778,5.66,,,
RbBaCl3,6.0374,4.32,5.59,4.6814,5.94,,,
RbBaI3,6.7772,3.22,4.18,3.7191,4.69,,,
RbCaBr3,5.7403,4.06,5.22,4.4023,5.58,,,
RbCaCl3,5.4306,4.95,6.26,5.185,6.51,,,
RbCaF3,4.5181,6.38,8.45,6.4595,8.52,,,
RbCaI3,6.1997,3.44,4.41,3.811,4.80,,,
RbCdBr3,5.5829,0.71,1.88,1.33,2.38,,,
RbCdCl3,5.2872,1.76,3.10,2.0812,3.39,,,
RbCdF3,4.5023,3.13,5.15,3.1841,5.19,,,
RbCdI3,6.0185,0.00,0.54,1.6269,2.57,,,
RbGaBr3,5.4576,0.00,0.00,0.4589,0.61,,,
RbHgBr3,5.6517,0.00,0.00,1.6255,2.59,,,
RbHgF3,4.6261,0.58,2.35,1.0551,2.72,,,
RbLiF3,4.1567,0.00,0.00,0,0.00,,,
RbMgBr3,5.3920,2.58,3.75,2.7581,3.93,,,
RbMgF3,4.1220,6.95,9.23,6.9818,9.24,,,
RbSrBr3,6.0075,3.87,5.01,4.2259,5.40,,,
RbSrF3,4.7904,5.69,7.69,5.9559,7.95,,,
RbTlBr3,5.8590,0.00,0.00,0.3071,0.29,,,
RbTlCl3,5.5819,0.00,0.00,0.5494,0.90,,,
RbZnBr3,5.3255,0.10,1.29,2.6303,3.87,,,
RbZnF3,4.9910,0.00,0.00,0,0.00,,,
SnLiF3,3.8775,2.99,4.23,3.3816,4.50,,,
SnTlF3,4.6970,0.63,1.27,2.7848,3.71,,,
SrLiF3,3.8797,7.22,9.40,7.7509,9.95,,,
TlCaBr3,5.6941,3.23,4.29,3.8964,4.90,,,
TlCaCl3,5.3913,3.93,5.12,4.3515,5.41,,,
TlCaF3,4.4967,4.47,5.88,4.2628,5.48,,,
TlCaI3,6.1408,2.52,3.40,3.4008,4.28,,,
TlCdBr3,5.5342,0.80,1.94,1.9865,2.99,,,
TlCdCl3,5.2496,1.83,3.19,2.1279,3.34,,,
TlCdF3,4.4795,3.83,5.52,3.6606,4.97,,,
TlCdI3,5.9501,0.00,0.60,1.9846,2.85,,,
TlGeBr3,5.5141,0.56,1.03,1.7998,2.48,,,
TlGeF3,4.4603,1.46,2.28,3.0939,4.08,,,
TlHgBr3,5.6020,0.00,0.00,1.8045,2.75,,,
TlHgF3,4.6006,1.35,3.17,2.1555,3.57,,,
TlHgI3,5.9923,0.00,0.00,1.6528,2.48,,,
TlMgCl3,5.0168,4.20,5.41,4.1763,5.41,,,
TlMgF3,4.1108,4.23,5.42,4.2428,5.42,,,
CsSnI3,6.2718,0.46,0.81,1.0209,1.50,,,
CsGeI3,5.9983,0.64,1.00,1.0345,1.51,,,
CsSnBr3,5.8854,0.63,1.10,1.2341,1.81,,,
InGeI3,5.8786,0.42,0.74,1.5468,2.09,,,
InPbBr3,5.9276,1.57,2.23,2.4472,3.18,,,
KGeI3,5.9341,0.52,0.86,1.5729,2.13,,,
KPbBr3,5.9528,1.72,2.36,2.5709,3.33,,,
KPbI3,6.3571,1.44,1.96,2.1821,2.81,,,
KSnI3,6.2384,0.39,0.73,1.5174,2.06,,,
RbPbBr3,5.9672,1.74,2.38,2.3509,3.08,,,
RbPbI3,6.3705,1.45,1.98,2.0402,2.66,,,
RbSnBr3,5.8571,0.58,1.03,1.7018,2.34,,,
RbSnI3,6.2540,0.42,0.77,1.3785,1.91,,,
TlGeI3,5.8911,0.44,0.76,1.5426,2.10,,,
TlPbBr3,5.9309,1.71,2.33,2.4702,3.21,,,
TlSnBr3,5.8187,0.51,0.95,1.8943,2.55,,,
InGeBr3,5.5063,0.53,0.97,1.8648,2.55,,,
InSnBr3,5.8156,0.50,0.93,2.0286,2.70,,,
InSnI3,6.1922,0.30,0.63,1.4163,1.92,,,
CsPbBr3,5.9895,1.67,2.41,2.1607,2.87,,,
TlPbCl3,5.6670,1.86,2.60,2.9178,3.75,,,
TlPbF3,4.8104,1.73,2.66,3.2474,4.33,,,
TlSrF3,4.7676,4.38,5.93,4.3467,5.56,,,
TlZnF3,4.1763,3.97,5.25,3.9819,5.25,,,
KMgBr3,5.3581,2.65,3.82,3.0599,4.23,,,
NaMgCl3,4.9577,4.10,5.40,4.2869,5.67,,,
NaMgF3,3.9372,5.95,8.11,6.4444,8.64,,,
RbSrCl3,5.7024,4.61,5.90,4.9163,6.22,,,
RbMgCl3,5.0598,4.11,5.50,4.11,5.51,,,
RbPbCl3,5.6954,2.17,2.90,2.8035,3.63,,,
CsCaBr3,5.7689,4.33,5.55,4.4477,5.62,,,
CsZnF3,4.2915,3.46,5.96,3.6291,6.00,,,
CsCdBr3,5.6212,0.54,1.85,1.0277,2.10,,,
CsSnF3,4.7841,1.62,2.58,3.1324,4.15,,,
CsCdF3,4.5589,3.12,5.28,3.2584,5.28,,,
CsCaCl3,5.4658,5.27,6.66,5.3358,6.66,,,
CsCdI3,6.0487,0.00,0.53,1.5108,2.38,,,
CsGeCl3,5.3399,1.07,1.65,1.4508,2.14,,,
KGeCl3,5.2639,0.88,1.42,2.4821,3.31,,,
NaPbF3,4.7856,2.08,2.96,3.6232,4.78,,,
KSnCl3,5.5724,1.62,1.43,2.7103,3.51,,,
KGeF3,4.4450,2.34,2.95,4.1352,5.34,,,
KSnBr3,5.8422,0.54,1.00,2.014,2.69,,,
KSnF3,4.7091,2.07,2.60,3.5084,4.55,,,
NaSnF3,4.6668,1.23,1.75,3.3561,4.37,,,
RbSnF3,4.7358,2.08,2.63,3.4396,4.48,,,
RbGeBr3,5.5620,1.54,1.12,1.6456,2.31,,,
CsGeBr3,5.6043,1.58,1.13,0.9755,1.56,,,
RbGeI3,5.9535,1.45,0.90,1.3677,1.89,,,
RbGeF3,4.4846,2.36,2.98,3.929,5.09,,,
KPbF3,4.8122,3.10,3.95,3.6726,4.83,,,
CsGeF3,4.5533,2.36,3.03,3.3705,4.51,,,
RbGeCl3,5.2923,0.96,1.51,2.0761,2.84,,,
KHgF3,4.6005,0.62,2.30,1.3489,2.97,,,
TlSnI3,6.2030,0.32,0.66,1.4494,1.97,,,
TlGeCl3,5.2526,0.88,1.41,2.3517,3.14,,,
KBeF3,3.7388,7.60,9.97,8.1779,10.49,,,
TlHgCl3,5.3264,0.00,0.54,2.0434,3.13,,,
CsHgI3,6.0899,0.00,0.00,1.3415,2.09,,,
RbBaF3,5.1241,4.71,6.56,5.3015,7.15,,,
RbInBr3,5.7315,0.00,0.00,0.6645,1.14,,,
CdAgF3,4.4154,1.13,2.98,1.0535,3.06,,,
RbZnCl3,5.0107,1.39,2.86,3.0692,4.53,,,
RbHgI3,6.0570,0.00,0.00,1.5776,2.42,,,
CsBrCl3,5.4486,0.00,0.00,1.2885,2.10,,,
CsBaF3,5.1058,5.23,7.08,5.6492,7.50,,,
RbHgCl3,5.3640,0.00,0.52,1.7113,2.82,,,
RbPbF3,4.9281,0.90,2.31,3.6219,4.78,,,
CsHgBr3,5.6860,0.00,0.00,1.1246,1.95,,,
NaZnCl3,4.9127,1.58,3.06,3.5965,5.09,,,
NaCdF3,4.4296,2.67,4.52,3.1147,5.07,,,
KBaCl3,6.0274,4.17,5.42,4.6557,5.91,,,
LiCdF3,4.4153,2.64,4.46,3.3126,5.26,,,
MgAgCl3,4.9142,1.65,3.11,2.8668,4.41,,,
ZnAgCl3,4.8719,1.45,2.92,1.9634,3.47,,,
ZnInCl3,4.9570,0.96,2.09,2.2925,3.36,,,
NaHgF3,4.5682,0.46,2.11,1.7877,3.47,,,
KInBr3,5.7088,0.00,0.00,0.6031,1.01,,,
NaHgCl3,5.3069,0.00,0.53,2.2868,3.51,,,
CsSrBr3,6.0317,4.17,5.32,4.3429,5.51,,,
CsHgF3,4.5146,0.70,2.42,0.7063,2.49,,,
CsSrCl3,5.7248,4.97,6.27,5.1646,6.47,,,
NaSnBr3,5.3266,1.20,1.70,2.5664,3.31,,,
RbInCl3,5.4464,0.00,0.00,0.9297,1.54,,,
KInCl3,5.4233,0.00,0.00,1.2776,1.98,,,
CaAgCl3,5.3110,1.56,2.92,2.4539,3.87,,,
InGaCl3,5.1167,0.00,0.00,1.6241,2.44,,,
KGaCl3,5.1262,0.00,0.00,1.5822,2.36,,,
NaPbCl3,5.0326,2.12,2.84,3.2386,4.11,,,
RbSrI3,6.4974,0.99,1.83,3.6399,4.63,,,
NaGeCl3,5.2159,2.21,1.27,3.5848,4.54,,,
RbGaCl3,5.1623,0.00,0.00,0.8779,1.35,,,
KGaF3,4.2757,0.00,0.00,2.0919,3.25,,,
NaCaCl3,5.3618,3.85,5.05,4.8825,6.19,,,
RbBrCl3,6.0604,0.00,0.00,1.1913,2.06,,,
KMgI3,5.8442,1.28,2.07,2.1231,3.02,,,
CsInBr3,5.7643,0.00,0.00,0.3067,0.39,,,
AgGeCl3,5.1705,0.00,0.00,2.6,3.64,,,
LiGeCl3,4.6715,1.44,1.99,3.0338,4.02,,,
NaSnCl3,5.0170,1.89,2.58,3.1954,4.08,,,
LiGaI3,5.7993,0.00,0.00,1.0207,1.64,,,
SrInBr3,5.9523,3.11,4.02,2.8244,3.57,,,
LiGaBr3,5.3643,0.00,0.00,1.8968,2.83,,,
KTlF3,4.6640,0.00,0.00,2.1191,3.22,,,
MgInBr3,5.3264,0.00,0.00,0.0868,0.48,,,
KLiF3,4.0351,0.00,0.00,0,0.00,,,
HgBiCl3,5.4563,1.02,0.90,0.9423,1.43,,,
TlInCl3,5.5437,0.00,0.00,1.2512,1.96,,,
CaInI3,6.1291,2.54,3.25,2.5189,3.17,,,
SrTlCl3,5.6980,0.00,0.00,3.9555,4.95,,,
MgTlBr3,5.7727,0.00,0.00,3.2377,4.12,,,
CsBeCl3,4.8471,2.28,3.42,4.1128,5.48,,,
CdInI3,5.9083,0.00,0.65,0.7511,1.01,,,
RbTlF3,4.6817,0.00,0.00,1.7867,2.77,,,
CsInCl3,5.4812,0.00,0.00,1.5207,2.26,,,
AgSnCl3,5.4447,0.00,0.00,2.6556,3.64,,,
CsGaCl3,5.2243,0.00,0.00,0.5885,0.97,,,
CsBaI3,6.7825,3.50,4.46,3.8248,4.79,,,
KZnCl3,4.9703,1.47,2.96,3.2661,4.75,,,
RbMgI3,5.8748,1.16,2.05,1.8077,2.68,,,
RbBeF3,3.8586,6.86,9.19,7.4564,9.73,,,
TlZnCl3,4.9634,1.51,2.97,2.8578,4.12,,,
CdAgCl3,5.1795,1.37,2.74,1.3839,2.80,,,
CsAlCl3,5.1841,0.00,0.00,1.095,1.65,,,
CsBeF3,4.0369,5.31,7.26,7.12,9.21,,,
TlZnBr3,5.2642,0.21,1.39,2.4783,3.54,,,
CsGaBr3,5.5112,0.00,0.00,0.5696,0.71,,,
NaCdCl3,5.2245,1.83,4.52,2.692,4.05,,,
CsTlF3,4.7914,0.00,0.00,1.6601,2.64,,,
InHgI3,5.9834,0.00,0.00,1.2518,1.94,,,
CsBaBr3,6.9963,3.53,4.63,4.2165,5.35,,,
CsCdCl3,5.3333,1.71,3.04,1.6894,3.04,,,
CsBaCl3,6.0541,4.65,5.91,4.8906,6.171,,,
