compound,OQMD_id,OQMD_hf,DFT_hf,hf_partial_cor,hf_full_cor,error
CuYbF3,1722764,-2.72990706,-2.565633204,-2.707833204,-2.778233204,-0.048326144
CsVCl3,1706450,-1.65240357,-1.464705218,-1.677705218,-1.700105218,-0.047701648
BaNaF3,1440785,-3.49877587,-3.301111256,-3.461511256,-3.545311256,-0.046535386
NaYbF3,1706395,-3.68352005,-3.49602759,-3.65642759,-3.72882759,-0.04530754
BaAgCl3,1726024,-1.71745356,-1.485517164,-1.698517164,-1.762117164,-0.044663604
KCCl3,1731056,-0.17393173,0.042805696,-0.170194304,-0.218394304,-0.044462574
CsCaCl3,1344684,-2.51261902,-2.289163284,-2.502163284,-2.555563284,-0.042944264
CsVBr3,1706431,-1.33656886,-1.183415768,-1.356815768,-1.378015768,-0.041446908
CsPrCl3,1706454,-2.15756142,-1.941631548,-2.154631548,-2.198031548,-0.040470128
LiAsI3,1535068,-0.35389294,-0.259997878,-0.358997878,-0.393397878,-0.039504938
CsCaI3,1384839,-1.71266056,-1.603531792,-1.702531792,-1.751731792,-0.039071232
CsVI3,1709172,-0.8908545,-0.811740228,-0.910740228,-0.928940228,-0.038085728
RbCI3,1711979,0.27904229,0.379351746,0.280351746,0.241951746,-0.037090544
CsSrCl3,1709271,-2.51533167,-2.29864738,-2.51164738,-2.55224738,-0.03691571
CsMnCl3,1709222,-1.68987226,-1.473799618,-1.686799618,-1.726399618,-0.036527358
CsMgCl3,1709269,-2.14159644,-1.92630251,-2.13930251,-2.17810251,-0.03650607
KVCl3,1549306,-1.62409055,-1.42477315,-1.63777315,-1.65997315,-0.0358826
CsPrBr3,1706407,-1.86257389,-1.682383086,-1.855783086,-1.897983086,-0.035409196
RbVCl3,1575647,-1.64156435,-1.44726985,-1.66026985,-1.67686985,-0.0353055
CsPrI3,1714547,-1.43259966,-1.328226654,-1.427226654,-1.466426654,-0.033826994
CsMgBr3,1709208,-1.80672158,-1.628861688,-1.802261688,-1.839861688,-0.033140108
CsMnBr3,1709199,-1.39770903,-1.218332716,-1.391732716,-1.430132716,-0.032423686
CsTiCl3,1711935,-1.83998443,-1.630805948,-1.856605948,-1.872405948,-0.032421518
CsSrBr3,1346547,-2.21029805,-2.029723692,-2.203123692,-2.242523692,-0.032225642
CsMgI3,1711869,-1.32294597,-1.221384708,-1.320384708,-1.354984708,-0.032038738
KCaCl3,1384250,-2.43054564,-2.196343256,-2.409343256,-2.462543256,-0.031997616
InYbF3,1711955,-3.37377323,-3.17160012,-3.31380012,-3.40520012,-0.03142689
RbCaCl3,1348396,-2.46878643,-2.239313342,-2.452313342,-2.499913342,-0.031126912
KPrCl3,1728519,-2.06163297,-1.835833312,-2.048833312,-2.092033312,-0.030400342
KVBr3,1711911,-1.28652998,-1.122380628,-1.295780628,-1.316780628,-0.030250648
YbRbF3,1535107,-2.45544726,-2.257657976,-2.399857976,-2.485457976,-0.030010716
RbVBr3,1711914,-1.31049581,-1.150882208,-1.324282208,-1.339682208,-0.029186398
RbPrCl3,1718075,-2.10220577,-1.880750822,-2.093750822,-2.131350822,-0.029145052
KCaBr3,1346959,-2.09967707,-1.903252202,-2.076652202,-2.128652202,-0.028975132
RbCaBr3,1385570,-2.14008351,-1.948046764,-2.121446764,-2.167846764,-0.027763254
LiGeI3,1711977,-0.50834542,-0.393349832,-0.492349832,-0.535349832,-0.027004412
KSrCl3,1385520,-2.41232814,-2.185554888,-2.398554888,-2.438954888,-0.026626748
RbVI3,1718005,-0.85050861,-0.765641176,-0.864641176,-0.877041176,-0.026532566
CsSmCl3,6024,-2.15552289,-1.933400204,-2.146400204,-2.182000204,-0.026477314
CsCuCl3,1575757,-1.3048979,-1.103086534,-1.316086534,-1.331086534,-0.026188634
CsYCl3,1711936,-2.14759698,-1.94357855,-2.15657855,-2.17337855,-0.02578157
CsCrCl3,1709221,-1.61723283,-1.407077384,-1.620077384,-1.642877384,-0.025644554
RbSrCl3,1385302,-2.45802113,-2.235669184,-2.448669184,-2.483469184,-0.025448054
KMnCl3,1575685,-1.64906481,-1.422038032,-1.635038032,-1.674438032,-0.025373222
KPrBr3,1728476,-1.7622304,-1.572135022,-1.745535022,-1.787535022,-0.025304622
CsTmCl3,6022,-2.09538795,-1.888629664,-2.101629664,-2.120229664,-0.024841714
CsPdCl3,1575826,-1.31032552,-1.112077144,-1.325077144,-1.334877144,-0.024551624
NaVCl3,1709169,-1.47547477,-1.26535715,-1.49655715,-1.49995715,-0.02448238
KMgCl3,1346718,-2.10910134,-1.881962876,-2.094962876,-2.133562876,-0.024461536
RbMnCl3,1549204,-1.67161458,-1.449215924,-1.662215924,-1.696015924,-0.024401344
RbPrBr3,1718012,-1.80431341,-1.61865662,-1.79205662,-1.82845662,-0.02414321
SrLiF3,1440786,-3.69766216,-3.526002294,-3.668202294,-3.721802294,-0.024140134
RbMgCl3,1710601,-2.12816114,-1.906265104,-2.119265104,-2.152265104,-0.024103964
KPrI3,1722782,-1.32148358,-1.20705772,-1.30605772,-1.34505772,-0.02357414
CsNdCl3,1706445,-2.15878748,-1.941715784,-2.154715784,-2.181715784,-0.022928304
RbPrI3,1709302,-1.36927963,-1.259223128,-1.358223128,-1.391623128,-0.022343498
KMgBr3,1713240,-1.74907414,-1.560467252,-1.733867252,-1.771267252,-0.022193112
KMnBr3,1575337,-1.33668146,-1.1465853,-1.3199853,-1.3581853,-0.02150384
KTiCl3,1722737,-1.80163477,-1.581618948,-1.807418948,-1.823018948,-0.021384178
CsSmBr3,1706424,-1.85125178,-1.664693592,-1.838093592,-1.872493592,-0.021241812
RbMgBr3,1713245,-1.7756388,-1.591449278,-1.764849278,-1.796649278,-0.021010478
CsGeCl3,1706432,-1.54889686,-1.322517206,-1.535517206,-1.569717206,-0.020820346
RbSrBr3,1718010,-2.15056883,-1.964314584,-2.137714584,-2.171314584,-0.020745754
RbMnBr3,1575055,-1.36606544,-1.180659146,-1.354059146,-1.386659146,-0.020593706
CsCrBr3,1706429,-1.32605532,-1.151585946,-1.324985946,-1.346585946,-0.020530626
RbTiCl3,1725961,-1.8231929,-1.607893234,-1.833693234,-1.843693234,-0.020500334
CsCuBr3,1709212,-1.08760139,-0.920740032,-1.094140032,-1.107940032,-0.020338642
CsTmBr3,1706446,-1.77260873,-1.601839336,-1.775239336,-1.792639336,-0.020030606
LiZnCl3,1722757,-1.31658972,-1.074558538,-1.287558538,-1.336158538,-0.019568818
KMnI3,1722779,-0.88053972,-0.765863024,-0.864863024,-0.900063024,-0.019523304
AgYbCl3,1722762,-1.60649424,-1.360216664,-1.573216664,-1.625416664,-0.018922424
CsTmI3,1706449,-1.31841019,-1.223805324,-1.322805324,-1.337205324,-0.018795134
NaVBr3,1711861,-1.12946469,-0.954136682,-1.145736682,-1.147936682,-0.018471992
RbMnI3,1709301,-0.91681844,-0.806617548,-0.905617548,-0.935217548,-0.018399108
CsYBr3,1711878,-1.83577817,-1.665093656,-1.838493656,-1.854093656,-0.018315486
CsCuI3,1722739,-0.75009369,-0.658465386,-0.757465386,-0.768265386,-0.018171696
CsPdBr3,1489054,-1.12554959,-0.961702556,-1.135102556,-1.143702556,-0.018152966
LiVF3,1711853,-2.60414524,-2.444405294,-2.586605294,-2.622005294,-0.017860054
KCuCl3,1432021,-1.30097268,-1.090517594,-1.303517594,-1.318317594,-0.017344914
KSmCl3,1711942,-2.06595628,-1.834170998,-2.047170998,-2.082570998,-0.016614718
KPdCl3,1549291,-1.28540383,-1.079177378,-1.292177378,-1.301777378,-0.016373548
CsGeBr3,14503,-1.31213636,-1.122088094,-1.295488094,-1.328488094,-0.016351734
CsMoCl3,1709263,-1.20440657,-1.00854885,-1.22154885,-1.22074885,-0.01634228
RbCuCl3,1549169,-1.30708466,-1.101100524,-1.314100524,-1.323300524,-0.016215864
InVCl3,1575955,-1.14944521,-0.929409114,-1.142409114,-1.164809114,-0.015363904
RbSmCl3,1709270,-2.10436711,-1.87684066,-2.08984066,-2.11964066,-0.01527355
TmKCl3,1285825,-1.01288425,-0.796655314,-1.009655314,-1.028055314,-0.015171064
CsPdI3,1709174,-0.84730554,-0.75754728,-0.85654728,-0.86214728,-0.01484174
KTmCl3,1250734,-2.02518843,-1.808354466,-2.021354466,-2.039754466,-0.014566036
CsGeI3,1706397,-0.93535493,-0.82082842,-0.91982842,-0.94982842,-0.01447349
RbPdCl3,1549216,-1.30220725,-1.099660464,-1.312660464,-1.316660464,-0.014453214
RbTiI3,1711973,-1.00666474,-0.903391788,-1.015191788,-1.020991788,-0.014327048
NaMnCl3,1725947,-1.49355469,-1.256001838,-1.487201838,-1.507801838,-0.014247148
AuYbF3,1722763,-2.65435533,-2.460318224,-2.602518224,-2.668518224,-0.014162894
SmLiF3,1713548,-3.22566136,-3.048762462,-3.190962462,-3.239562462,-0.013901102
TmRbCl3,1285830,-0.83524813,-0.622986888,-0.835986888,-0.848786888,-0.013538758
RbTmCl3,1285831,-2.0561792,-1.843798658,-2.056798658,-2.069598658,-0.013419458
KNdCl3,1725981,-2.06469564,-1.837794926,-2.050794926,-2.077594926,-0.012899286
NaMgCl3,1710590,-1.95990158,-1.721198228,-1.952398228,-1.972198228,-0.012296648
BaAgF3,1710709,-2.58012574,-2.385988058,-2.528188058,-2.591788058,-0.011662318
RbNdCl3,1714549,-2.1051101,-1.882522824,-2.095522824,-2.116722824,-0.011612724
KSmBr3,1728493,-1.75642005,-1.560019768,-1.733419768,-1.767619768,-0.011199718
InCaCl3,1725979,-1.95217305,-1.69662642,-1.90962642,-1.96302642,-0.01085337
InPrCl3,1728521,-1.65716031,-1.411559588,-1.624559588,-1.667959588,-0.010799278
KCuBr3,1548959,-1.0545198,-0.878249146,-1.051649146,-1.065249146,-0.010729346
KGeCl3,1549303,-1.47790925,-1.24160413,-1.45460413,-1.48860413,-0.01069488
LiPdF3,1711872,-1.79673007,-1.642334662,-1.784534662,-1.807334662,-0.010604592
NdLiF3,1713546,-3.2637507,-3.092013228,-3.234213228,-3.274213228,-0.010462528
NaMgBr3,1713236,-1.58651278,-1.38666735,-1.57826735,-1.59686735,-0.01035457
NaTiCl3,1725949,-1.62993371,-1.39944731,-1.64344731,-1.64024731,-0.0103136
KCrBr3,1546856,-1.27746221,-1.092823082,-1.266223082,-1.287623082,-0.010160872
RbSmBr3,1718043,-1.79635941,-1.604470814,-1.777870814,-1.806470814,-0.010111404
CsMoBr3,1711882,-0.93988624,-0.778074346,-0.951474346,-0.949474346,-0.009588106
RbGeCl3,1706479,-1.5126383,-1.280698116,-1.493698116,-1.522098116,-0.009459816
RbCuBr3,1546603,-1.07269111,-0.900672026,-1.074072026,-1.082072026,-0.009380916
RbCrBr3,1546707,-1.30104847,-1.12091968,-1.29431968,-1.31011968,-0.00907121
KPdBr3,1549016,-1.08112424,-0.908277334,-1.081677334,-1.090077334,-0.008953094
InVBr3,1728501,-0.83425269,-0.648502884,-0.821902884,-0.843102884,-0.008850194
RbTmBr3,1718068,-1.7273336,-1.55103636,-1.72443636,-1.73603636,-0.00870276
NaCuCl3,1725944,-1.16783353,-0.948807908,-1.180007908,-1.176007908,-0.008174378
RbSmI3,1711982,-1.35149143,-1.234945692,-1.333945692,-1.359545692,-0.008054262
InCaBr3,1711875,-1.63163739,-1.413886306,-1.587286306,-1.639486306,-0.007848916
RbTmI3,1711974,-1.2624683,-1.16216412,-1.26116412,-1.26976412,-0.00729582
RbCuI3,1432817,-0.716951,-0.619865355,-0.718865355,-0.723865355,-0.006914355
KCF3,1713238,-1.09815801,-0.914629902,-1.056829902,-1.105029902,-0.006871892
RbPdBr3,1431731,-1.10339077,-0.934030879,-1.107430879,-1.110230879,-0.006840109
CsZnCl3,1709265,-1.64398591,-1.402160852,-1.615160852,-1.650760852,-0.006774942
LiCuF3,1722755,-2.11644226,-1.952825508,-2.095025508,-2.123025508,-0.006583248
RbNdBr3,1714548,-1.80322795,-1.61636857,-1.78976857,-1.80976857,-0.00654062
InPrBr3,1728477,-1.3465109,-1.13733994,-1.31073994,-1.35293994,-0.00642904
KGeBr3,1575382,-1.23143299,-1.031441462,-1.204841462,-1.237641462,-0.006208472
KGaBr3,1575353,-1.27776162,-1.072069334,-1.245469334,-1.283869334,-0.006107714
RbCF3,1713246,-1.03524858,-0.856482208,-0.998682208,-1.041282208,-0.006033628
RbMoCl3,1718074,-1.17469063,-0.974185354,-1.187185354,-1.180585354,-0.005894724
KNdI3,1722781,-1.31740947,-1.201693954,-1.300693954,-1.323293954,-0.005884484
CsMoI3,1718069,-0.55576935,-0.467495528,-0.566495528,-0.561495528,-0.005726178
CsLaCl3,1709262,-2.19835446,-1.98201648,-2.19501648,-2.20401648,-0.00566202
LiMnF3,1713247,-2.54629762,-2.356591694,-2.498791694,-2.551391694,-0.005094074
RbGaBr3,1543248,-1.3105318,-1.109317558,-1.282717558,-1.315517558,-0.004985758
RbGeBr3,1706478,-1.26864479,-1.073019066,-1.246419066,-1.273619066,-0.004974276
InMnCl3,1575943,-1.1721719,-0.924289774,-1.137289774,-1.176889774,-0.004717874
NaCrCl3,1725943,-1.44340377,-1.213119054,-1.444319054,-1.448119054,-0.004715284
RbNdI3,1709290,-1.36459031,-1.253257356,-1.352257356,-1.369257356,-0.004667046
KGeI3,1709298,-0.84497474,-0.720345198,-0.819345198,-0.849145198,-0.004170458
LiCaF3,1713422,-3.38316771,-3.178721194,-3.320921194,-3.387321194,-0.004153484
CsPrF3,1706464,-3.2157687,-3.034147554,-3.176347554,-3.219747554,-0.003978854
InMgCl3,1725954,-1.631548,-1.383651808,-1.596651808,-1.635451808,-0.003903808
RbPdI3,1722703,-0.81259372,-0.717579002,-0.816579002,-0.816379002,-0.003785282
RbGeI3,7217,-0.8852142,-0.765023816,-0.864023816,-0.888223816,-0.003009616
RbYI3,1711975,-1.33046037,-1.22758091,-1.32658091,-1.33338091,-0.00292054
CsZnBr3,1709210,-1.37284881,-1.167852904,-1.341252904,-1.375652904,-0.002804094
CsZnI3,1711870,-0.96216313,-0.833743216,-0.932743216,-0.964143216,-0.001980086
CsRhCl3,1549370,-1.20290089,-0.987425302,-1.200425302,-1.204225302,-0.001324412
CsCoI3,1711862,-0.6083221,-0.498580886,-0.597580886,-0.609580886,-0.001258786
CsLaBr3,1711877,-1.90841958,-1.72792735,-1.90132735,-1.90912735,-0.00070777
InMnBr3,1575536,-0.88079595,-0.669399506,-0.842799506,-0.881199506,-0.000403556
CsPtBr3,1709209,-0.99954874,-0.834309494,-1.007709494,-0.999109494,0.000439246
CsYF3,1713487,-3.22009499,-3.06038567,-3.20258567,-3.21938567,0.00070932
CsSrF3,646362,-3.65153321,-3.467474908,-3.609674908,-3.650274908,0.001258302
