correct_formula,lat_bvm,lat_opt,hf_opt,lat_err
CsRbCuBiBr6,7.416701607,7.8760504,-1.257195287,-5.832222624
Cs2FeAuCl6,7.276694464,7.312861189,-1.31639321,-0.49456326
CsK_NaMnF6,6.152394682,6.124008132,-2.918655955,0.463528934
CsRbAgBiBr6,7.996529167,8.090551786,-1.286307889,-1.162128637
Cs2FePbF6,6.393588805,6.486888594,-2.596077453,-1.438282591
Cs2CuNbF6,6.173607885,6.328774487,-2.546373588,-2.451763797
K_2AgInF6,6.255632272,6.370465895,-2.528581073,-1.802593804
Rb2BeBaCl6,6.940889453,7.510635446,-2.022264161,-7.585856035
RbK_MnPtF6,6.048520696,6.137458067,-2.25521048,-1.44909131
Cs2MnPbF6,6.537838588,6.53393919,-2.759921442,0.059679135
K_2SrPtF6,6.301664923,6.497159106,-2.634927235,-3.008917887
CsK_MgSrF6,6.250753235,6.286869665,-3.538106024,-0.574473979
Cs2K_RhCl6,7.691059038,7.641294508,-1.689319641,0.651257843
K_2MnZnF6,5.938212038,5.917331782,-2.766992332,0.352866064
RbBaCrCuF6,6.015286677,6.058527546,-2.722772378,-0.713719118
CsRbCdSnBr6,7.442935268,8.120449051,-1.394103872,-8.343304394
Cs2AgInCl6,7.454885373,7.5383386,-1.584631885,-1.107050661
Cs2CoAgCl6,7.285179745,7.186390416,-1.325168445,1.37467245
RbK_ZnPbCl6,7.493846956,7.53409382,-1.622175948,-0.534196476
K_2TiAgF6,6.166536817,6.21649138,-2.852282493,-0.803581299
Cs2BaPtF6,6.588750276,6.804181216,-2.649400866,-3.166155228
RbK_CaCuF6,6.011751143,6.085662416,-2.930171976,-1.21451484
Rb2ZnPtF6,5.941040465,6.111310111,-2.231410459,-2.786139843
CsRbCuMoF6,6.187962153,6.207005699,-2.447279957,-0.30680729
Cs2CaCdF6,6.461471056,6.455894742,-3.171984593,0.086375531
Rb2TiAgCl6,7.316292444,7.315264617,-1.730661294,0.014050434
CsK_TiAuCl6,7.279522891,7.341078126,-1.597344876,-0.838504013
RbK_CrSnF6,6.191356265,6.323394954,-2.652927512,-2.088098077
Cs2AsRbBr6,8.416550595,8.409810584,-1.457587495,0.080144626
Rb2CaMnF6,6.257824303,6.215960023,-3.236469165,0.673496606
RbK_CaCoF6,6.062662831,6.089128138,-3.009877868,-0.434632119
Cs2AgAuBr6,7.726414377,7.748458637,-1.073326565,-0.284498646
Cs2TiSrCl6,7.889826754,7.646966731,-2.177087971,3.175900084
Rb2CuMoF6,6.094624058,6.134267024,-2.452632125,-0.646254329
RbK_MnSrCl6,7.1855484,7.586028879,-2.041275198,-5.279184746
CsK_TiSnCl6,7.727121483,7.559947367,-1.703009773,2.21131323
CsRbScAuCl6,7.432257956,7.456577427,-1.84581466,-0.326147909
CsK_CoCdF6,6.20125576,6.148419591,-2.473298446,0.859345535
CsRbNiSnCl6,7.37639652,7.39964497,-1.484651041,-0.314183312
CsRbSrPdF6,6.443086279,6.506303135,-2.762247793,-0.971624809
CsK_ScAuCl6,7.41811582,7.436281844,-1.826667172,-0.244289072
Cs2TiPtF6,6.54632387,6.542350302,-2.60557355,0.060736082
Cs2MnSnCl6,7.198205611,7.60569084,-1.68507295,-5.357635982
K_2NaV_F6,5.99683119,5.96632472,-3.110807373,0.511310917
K_2ScAgF6,6.213205865,6.285579,-3.114354631,-1.151415559
Rb2NiSrF6,6.233782672,6.269913871,-2.982081306,-0.576263072
CsK_LiAlF6,5.742272749,5.893282761,-3.355135021,-2.562409081
Rb2TiV_F6,7.157264128,6.010590554,-2.923601862,19.0775526
Cs2NaAuCl6,7.409630539,7.536956184,-1.456144524,-1.689351006
Cs2V_MnF6,6.687745226,6.142599051,-2.790929555,8.874845489
K_2NaRuF6,6.534232344,6.022560148,-2.611760905,8.495925036
Rb2CoZnF6,5.912756194,5.909337758,-2.524122459,0.057848035
CsRbTiPbF6,6.97907322,6.390522533,-2.832294825,9.209742761
Rb2NaInF6,6.186335807,6.255894788,-2.961884993,-1.111894988
CsRbCoSnF6,6.245096381,6.340035822,-2.497246291,-1.497459068
CsRbTiSnBr6,8.127414632,7.980206079,-1.436135918,1.844671075
Cs2NaV_F6,6.237247495,6.261039266,-3.099323095,-0.379997147
Rb2AgInCl6,7.384174695,7.46235646,-1.543979169,-1.047681997
Cs2TiAgF6,6.381497279,6.397181458,-2.885151555,-0.245173278
Rb2PdCdF6,6.271966438,6.266310198,-2.298571851,0.090264288
RbK_MgZnF6,5.802447536,5.829111996,-3.104591539,-0.457436068
CsRbTiZnCl6,7.270401213,7.215526547,-1.70384482,0.760508139
CsBaK_NiF6,6.40560962,6.324059321,-2.89221859,1.289524583
Cs2AlK_Cl6,7.634490495,7.64481896,-2.064823029,-0.135104115
Cs2MgPdF6,6.139030364,6.138809048,-2.660451819,0.003605195
CsK_TiSnF6,6.833409223,6.416009298,-2.816689471,6.505600365
CsBaNaCuF6,6.121352694,6.094802672,-2.884909403,0.435617412
Cs2AsRbF6,6.665754205,6.779789987,-2.757518501,-1.681995785
CsRbK_RuCl6,7.908847926,7.605400732,-1.613227129,3.989890929
Cs2K_FeCl6,7.705201173,7.711411423,-1.732854299,-0.080533247
RbK_BePdF6,5.74446478,5.72363528,-2.491984167,0.36392081
Cs2CaV_Cl6,7.875684618,7.432334045,-2.101650206,5.965159408
CsK_AlRbCl6,7.791468201,7.720840176,-2.005412874,0.914771228
CsRbCaTiBr6,8.141556768,7.8668536,-1.820091499,3.49190645
RbK_MgNiF6,5.785476973,5.786964609,-2.915779687,-0.025706674
Rb2K_NbF6,6.425337899,6.576417319,-2.946668657,-2.297290649
Rb2CaTiCl6,7.686180001,7.404917754,-2.131133037,3.798316952
RbK_PdPtCl6,6.973416365,7.064458301,-1.248157837,-1.288732016
CsRbMnSrF6,6.499654822,6.445763731,-3.203316971,0.836069913
RbK_MgCdF6,6.059834404,6.042611144,-3.06065837,0.285030092
Cs2BeSrF6,6.167314635,6.133142936,-3.305384976,0.557164552
RbK_CaCrCl6,7.389195153,7.361473611,-1.976273123,0.376575979
CsRbK_ScF6,6.524332849,6.546377862,-3.52535983,-0.336751309
CsK_TiCdCl6,7.14595042,7.393548971,-1.708976633,-3.348845753
RbK_CaCoCl6,7.314241834,7.277508803,-1.844609225,0.504747327
RbK_NaMnF6,6.019458607,6.01982979,-2.932158838,-0.006166009
CsBaLiCaF6,6.085997355,6.114632499,-3.603605501,-0.468305229
Rb2MoAgF6,6.255844404,6.367209045,-2.476053896,-1.74903385
CsK_ZnPtF6,6.01457957,6.139179472,-2.216789185,-2.029585585
RbK_MgPtF6,5.850530797,6.023284118,-2.607237138,-2.868091858
Rb2AgAuCl6,7.262552328,7.290930418,-1.220567258,-0.389224525
RbK_BeCdF6,5.863258719,5.792023653,-2.847416617,1.229882163
K_2CaMnF6,6.215397896,6.154753374,-3.22541777,0.985328225
K_2CuBaF6,6.416216222,6.464262982,-2.805313064,-0.743267413
RbK_CrZnF6,5.875986641,5.933255409,-2.698348432,-0.965216634
Rb2K_CuF6,6.272602835,6.319879692,-2.452811228,-0.748065784
Cs2CaMnCl6,7.168577837,7.494277264,-2.10035411,-4.345975138
CsK_CaPtF6,6.184285198,6.362709496,-2.702487562,-2.804218843
RbK_LiAlF6,5.612165101,5.730251766,-3.401441403,-2.060758762
CsRbV_PtF6,6.535010161,6.307769993,-2.357325681,3.602543665
CsRbFePbCl6,7.57869977,7.56826403,-1.547053781,0.137888161
CsRbCuBiF6,6.382911492,6.44799154,-2.462464018,-1.009307278
CsK_MgNiF6,5.938212038,5.879844663,-2.87069328,0.992668653
CsK_FeRbF6,6.61625673,6.558314033,-2.790958141,0.883499882
CsK_BePbF6,6.075390753,6.088469157,-2.856022219,-0.21480611
Rb2CdSnF6,6.496826395,6.538757766,-2.644645841,-0.641274266
K_2TiCdF6,6.795225457,6.706784996,-2.918312984,1.318671467
CsBaLiCuF6,5.927605436,5.934323831,-2.914619957,-0.113212473
CsK_TiPtCl6,7.298685485,7.203385271,-1.493923519,1.322992041
CsK_AgBiF6,6.563930828,6.67630706,-2.471087686,-1.683209447
Cs2CuAgF6,6.300887106,6.185172152,-2.179081678,1.870844506
K_2V_SrF6,6.974830579,6.298830123,-3.213814608,10.73215887
CsRbAlAgCl6,7.208812213,7.282493282,-1.72136225,-1.011756082
CsK_MgSnCl6,7.432965062,7.557106425,-1.861833145,-1.642710255
CsK_MgCoF6,5.963667882,5.903231083,-2.870647111,1.023791858
RbK_LiBiF6,6.035014956,6.203275724,-2.870708373,-2.712450254
CsRbNaCuF6,6.067541868,6.149210386,-2.469027811,-1.3281139
CsRbLiBiCl6,7.443571664,7.558335183,-1.797680017,-1.518370324
RbK_CrMnCl6,6.783911748,7.11562505,-1.604663222,-4.661759155
CsK_CdPtCl6,6.947960521,7.328139787,-1.343963944,-5.187936865
RbK_LiAuF6,5.958647424,5.990550916,-2.293177712,-0.532563575
RbK_NiAgF6,6.049157092,6.01565717,-2.254642508,0.556878842
RbK_NaNiF6,5.954404783,5.949149334,-2.598320038,0.088339504
Rb2SrPdF6,6.409145154,6.466943668,-2.75054048,-0.893753165
RbK_CuBiF6,6.292401824,6.365462517,-2.444452106,-1.147767225
Cs2GaRbF6,6.575244537,6.59505847,-3.010357737,-0.300436048
CsRbCrFeF6,6.065491258,6.043161293,-2.548670655,0.369508016
K_2NiBaF6,6.419044649,6.436716726,-2.891212177,-0.274551112
CsRbMgSrCl6,7.581528197,7.61465163,-2.317872152,-0.434996042
K_BaCuZnF6,5.919120155,5.984318111,-2.759280878,-1.089480118
CsRbK_MnF6,6.416852618,6.42811779,-2.913465082,-0.175248375
RbBaBeK_F6,6.084583141,6.007453429,-3.298676539,1.283900304
CsRbMgNiF6,5.980638445,5.920974655,-2.861811749,1.007668382
Cs2RbAuCl6,7.983801245,7.944000063,-1.44651276,0.501021928
CsRbMoAgCl6,7.361547278,7.386756513,-1.471939923,-0.34127611
Cs2CrMnF6,6.223883177,6.162837089,-2.697930209,0.99055171
RbK_V_BaF6,7.213832671,6.540305308,-3.155051693,10.29810278
CsRbMgSrBr6,8.087816653,8.05945639,-1.987805172,0.35188803
CsRbLiFeF6,5.869551969,6.032571373,-2.818819653,-2.702320353
CsRbK_GaF6,6.377254638,6.408908085,-3.016249963,-0.493897663
Cs2RbInBr6,8.626066334,8.467164079,-1.605688867,1.876688043
CsK_CoCuF6,5.972153163,5.934572139,-2.303814783,0.633255837
Cs2BeBaBr6,7.331212397,8.017807019,-1.751782277,-8.563371766
RbK_CoSnF6,6.154586713,6.259601812,-2.490756232,-1.677664204
CsRbBeSnF6,6.042863841,6.072378925,-2.826027237,-0.486054711
Rb2MnCoF6,6.048520696,5.977120664,-2.557387551,1.19455564
CsK_BeCaF6,5.959425241,5.886644502,-3.332538423,1.236370557
Rb2MgCdF6,6.096603957,6.077204642,-3.060870768,0.319214444
Rb2K_ScF6,6.487563296,6.489860418,-3.511238401,-0.035395553
CsK_CrPtCl6,7.083725023,7.101821032,-1.32637128,-0.254808013
Rb2CuSrF6,6.233782672,6.297733023,-2.895696462,-1.015450325
Cs2AgSbCl6,7.522767624,7.664977719,-1.515164919,-1.855323006
Cs2K_AuBr6,8.212903842,8.232633133,-1.252468509,-0.23964739
CsK_MnSnCl6,7.124666506,7.557967122,-1.641685229,-5.733031233
RbK_AgAuF6,6.402710482,6.291955795,-1.971114894,1.760258517
CsRbCaCuF6,6.139030364,6.183439022,-2.922536468,-0.718187048
CsRbCuPtF6,6.037206987,6.115535532,-2.069591888,-1.280812525
RbK_BeSrF6,5.969324736,5.960912242,-3.336866955,0.141127634
CsK_NaCoF6,6.101482994,6.107683965,-2.656371819,-0.101527373
Rb2CoAuCl6,7.090018274,7.095473358,-1.210158046,-0.076881188
CsRbFePtF6,6.071148113,6.191881058,-2.152766961,-1.949858924
K_2CuSbF6,6.132595692,6.249265465,-2.42886158,-1.866935777
RbK_AlCsF6,6.641712574,6.530566207,-3.306461491,1.701940744
CsRbLiMoF6,5.916433149,6.105246908,-2.867872358,-3.092647394
Rb2PdPbF6,6.421873076,6.490465973,-2.330992115,-1.056825469
RbK_CaPbF6,6.54632387,6.604934026,-3.159384458,-0.887369292
CsRbNaCoCl6,7.262552328,7.242698424,-1.60311309,0.274123031
CsRbTiPtF6,6.523696453,6.470372038,-2.588627122,0.82413213
K_BaNaCuF6,5.968617629,5.970793975,-2.906522137,-0.036449856
Cs2NaNiF6,6.101482994,6.212498629,-2.575340991,-1.786972394
Cs2RbInF6,6.776062863,6.811038318,-2.945741298,-0.513511356
K_2NaAlF6,5.83419663,5.834494483,-3.41870617,-0.005105035
CsK_TiPtF6,6.515211171,6.432686766,-2.57237332,1.282891716
CsK_MnPtF6,6.139030364,6.150386068,-2.299946588,-0.184634005
CsK_MgCrF6,5.983466872,5.962583113,-3.03074675,0.350246836
CsK_RhAuCl6,7.166385806,7.18314184,-1.231495873,-0.233268874
CsRbV_FeF6,6.498240608,6.034800284,-2.643238321,7.679464143
RbK_ZnBaF6,6.458642629,6.513567852,-3.087452017,-0.843243278
Rb2CuBiF6,6.317857669,6.394018337,-2.455945333,-1.19112371
CsRbRuAgCl6,7.392659976,7.263041313,-1.301358213,1.784633419
CsRbCdPbBr6,7.565971848,8.187103705,-1.420147535,-7.586710509
CsK_CoNiF6,5.97498159,5.917962039,-2.293603112,0.963499778
Cs2K_TiI6,8.801216684,8.776073422,-1.310127927,0.286497857
CsRbNaScF6,6.259874912,6.266875645,-3.539753171,-0.111710098
Cs2SrBaF6,7.020085413,7.04701183,-3.582896268,-0.382096953
RbK_CaCdF6,6.379446669,6.342477595,-3.147811156,0.582880646
K_2CrMnF6,5.997609007,5.968547206,-2.731538443,0.486915832
CsRbBeTiF6,6.19701312,5.806064383,-2.933568663,6.733455066
Cs2TiAgCl6,7.403973684,7.403143814,-1.764608835,0.011209704
CsRbMnPbCl6,7.261915932,7.638604222,-1.693257047,-4.931375928
CsK_CaSrCl6,7.966194286,7.874742711,-2.458501814,1.16132778
Cs2MnSnBr6,7.417479424,8.002569229,-1.415437215,-7.311274522
RbK_CuAgCl6,7.135273108,7.083053925,-1.280589635,0.737241075
CsK_AlAgF6,6.155223109,6.148696098,-2.990269023,0.106152759
CsK_NaBiBr6,8.137950523,8.188456095,-1.521275828,-0.616789921
K_2TiZnF6,6.399245659,5.922234052,-2.859128905,8.054588909
CsK_NiBaF6,6.455814202,6.497914389,-2.91693187,-0.64790308
CsRbBeBaF6,6.230954245,6.246489254,-3.276142206,-0.248699839
CsRbMgCdCl6,7.004529064,7.354767805,-1.888955422,-4.762063888
Rb2CaCuF6,6.051349123,6.119252228,-2.932594884,-1.109663451
K_2NiPtF6,5.793962254,5.968148838,-2.089294927,-2.918603219
