,correct_formula,lat_bvm,lat_opt,hf_opt,A,A',B,B',X,bvm_oqmd_lat_err
8,Cs2CaMnBr6,7.423136278,7.914385931,-1.788691693,Cs,Cs,Ca,Mn,Br,-6.207046981
19,Cs2CaTiF6,6.738656914,6.310456606,-3.333151116,Cs,Cs,Ca,Ti,F,6.785567745
20,Cs2CaV_F6,6.749970623,6.271222472,-3.263913981,Cs,Cs,Ca,V,F,7.634048276
23,Cs2CdBaCl6,7.595670333,8.016040339,-2.081619077,Cs,Cs,Cd,Ba,Cl,-5.244110411
24,Cs2CdPbBr6,7.608398255,8.209288115,-1.449476976,Cs,Cs,Cd,Pb,Br,-7.319634195
25,Cs2CdSnBr6,7.499503811,8.142867853,-1.422477733,Cs,Cs,Cd,Sn,Br,-7.900951527
40,Cs2CuBiBr6,7.442157451,7.903843839,-1.281243779,Cs,Cs,Cu,Bi,Br,-5.841289345
98,Cs2MnBaBr6,7.731434835,8.284417754,-1.803622008,Cs,Cs,Mn,Ba,Br,-6.674976268
100,Cs2MnCdCl6,6.93947524,7.401918948,-1.683266452,Cs,Cs,Mn,Cd,Cl,-6.247619182
105,Cs2MnSrBr6,7.53910179,8.084379602,-1.804432114,Cs,Cs,Mn,Sr,Br,-6.744831871
106,Cs2MnSrCl6,7.278886495,7.664645789,-2.108907601,Cs,Cs,Mn,Sr,Cl,-5.032969619
139,Cs2RbRuF6,7.217297494,6.665022197,-2.595327888,Cs,Cs,Rb,Ru,F,8.286173409
143,Cs2RuAgF6,6.747778592,6.384978201,-2.220376748,Cs,Cs,Ru,Ag,F,5.682092868
150,Cs2SrCdI6,7.988821703,8.841390164,-1.377399719,Cs,Cs,Sr,Cd,I,-9.642923174
157,Cs2TiCdCl6,7.213832671,7.647268052,-1.74780139,Cs,Cs,Ti,Cd,Cl,-5.66784606
159,Cs2TiPbF6,6.981901647,6.544313357,-2.866782498,Cs,Cs,Ti,Pb,F,6.68654244
162,Cs2V_BaF6,7.213832671,6.6231676,-3.203966975,Cs,Cs,V,Ba,F,8.918165849
184,CsBaLiTiF6,6.309443098,5.991805915,-3.298908139,Cs,Ba,Li,Ti,F,5.301192787
189,CsBaNaV_F6,6.73512138,6.127130461,-3.216410224,Cs,Ba,Na,V,F,9.922930854
199,CsK_BeBaCl6,6.974830579,7.525597566,-2.023664088,Cs,K,Be,Ba,Cl,-7.318581444
202,CsK_BeSrCl6,6.85603664,7.329894509,-2.036901187,Cs,K,Be,Sr,Cl,-6.464729723
204,CsK_CaCdCl6,7.202518962,7.58396947,-2.043366533,Cs,K,Ca,Cd,Cl,-5.029694667
216,CsK_CdPbCl6,7.377881444,7.776902654,-1.651181616,Cs,K,Cd,Pb,Cl,-5.130850002
218,CsK_CdSnCl6,7.234975164,7.708727294,-1.622794071,Cs,K,Cd,Sn,Cl,-6.145659483
282,CsK_MnSrCl6,7.225146379,7.617867947,-2.064012205,Cs,K,Mn,Sr,Cl,-5.15526878
292,CsK_NaRuF6,6.573830323,6.163618171,-2.603029591,Cs,K,Na,Ru,F,6.655379042
300,CsK_RuAgF6,6.727979602,6.300646193,-2.201234887,Cs,K,Ru,Ag,F,6.782374314
304,CsK_SrCdCl6,7.355254027,7.768035597,-2.044811739,Cs,K,Sr,Cd,Cl,-5.31384756
309,CsK_TiCoF6,6.464299483,6.02907334,-2.740268186,Cs,K,Ti,Co,F,7.218789994
310,CsK_TiCrF6,6.501069036,6.130089619,-2.835388138,Cs,K,Ti,Cr,F,6.051778034
312,CsK_TiNiF6,6.413387795,6.04646635,-2.73970148,Cs,K,Ti,Ni,F,6.068361647
314,CsK_TiPbF6,6.97907322,6.483649444,-2.842696391,Cs,K,Ti,Pb,F,7.641125269
317,CsK_TiZnF6,6.441672066,6.027592191,-2.826944607,Cs,K,Ti,Zn,F,6.86973939
320,CsK_V_BaF6,7.213832671,6.574322289,-3.170193598,Cs,K,V,Ba,F,9.727396283
322,CsK_V_CoF6,6.478441619,5.974143426,-2.6078789,Cs,K,V,Co,F,8.44134727
323,CsK_V_FeF6,6.489755327,5.994492355,-2.661980341,Cs,K,V,Fe,F,8.261966863
326,CsK_V_SrF6,6.977659006,6.368391515,-3.22832938,Cs,K,V,Sr,F,9.567054563
339,CsRbBeSnCl6,6.868693851,7.306366231,-1.625672416,Cs,Rb,Be,Sn,Cl,-5.990288006
402,CsRbMgTiF6,6.402074086,6.010716195,-3.201141485,Cs,Rb,Mg,Ti,F,6.511002654
406,CsRbMnCdCl6,6.882906697,7.365002236,-1.666534055,Cs,Rb,Mn,Cd,Cl,-6.54576229
410,CsRbMnPbBr6,7.452834763,8.041109533,-1.417635506,Cs,Rb,Mn,Pb,Br,-7.315840775
414,CsRbMnSnBr6,7.346768746,7.976346944,-1.389297259,Cs,Rb,Mn,Sn,Br,-7.893064362
415,CsRbMnSnCl6,7.147293923,7.575242055,-1.66226056,Cs,Rb,Mn,Sn,Cl,-5.64929977
435,CsRbRuAgF6,6.730808029,6.329110141,-2.21310731,Cs,Rb,Ru,Ag,F,6.346830424
446,CsRbTiBaF6,7.199690535,6.637643211,-3.253739251,Cs,Rb,Ti,Ba,F,8.467573597
451,CsRbTiMnF6,6.659460955,6.069456753,-2.868122552,Cs,Rb,Ti,Mn,F,9.720873317
452,CsRbTiNiF6,6.424701503,6.074323833,-2.739705662,Cs,Rb,Ti,Ni,F,5.768175679
455,CsRbTiSrF6,6.96351687,6.435290094,-3.304017261,Cs,Rb,Ti,Sr,F,8.208282273
457,CsRbV_BaCl6,8.31691925,7.766175069,-2.078748201,Cs,Rb,V,Ba,Cl,7.091575661
458,CsRbV_CrF6,6.520868025,6.071133387,-2.734150444,Cs,Rb,V,Cr,F,7.407754192
459,CsRbV_PbF6,6.993215355,6.443236139,-2.77988685,Cs,Rb,V,Pb,F,8.535760666
461,CsRbV_SnF6,6.850379785,6.38065554,-2.754783525,Cs,Rb,V,Sn,F,7.361692573
502,K_2RuAgF6,6.708180612,6.210582101,-2.189482207,K,K,Ru,Ag,F,8.012107447
504,K_2TiFeF6,6.438843639,5.919424991,-2.808235648,K,K,Ti,Fe,F,8.774815946
506,K_2TiNiF6,6.365304534,5.910039101,-2.767692894,K,K,Ti,Ni,F,7.703255854
507,K_2TiSnF6,6.824923941,6.341504006,-2.804667872,K,K,Ti,Sn,F,7.623111718
508,K_2V_CrF6,6.481270046,5.931476362,-2.762805707,K,K,V,Cr,F,9.269086656
510,K_2V_SnF6,6.839066077,6.279915712,-2.736484518,K,K,V,Sn,F,8.903787736
520,K_BaLiTiF6,6.272673545,5.848363136,-3.341177247,K,Ba,Li,Ti,F,7.255199432
521,K_BaLiV_F6,6.286815681,5.811063176,-3.290103347,K,Ba,Li,V,F,8.187013126
530,K_BaV_CuF6,6.586628956,6.00194123,-2.81760557,K,Ba,V,Cu,F,9.741643638
573,Rb2K_RuF6,6.979709616,6.423718149,-2.587647312,Rb,Rb,K,Ru,F,8.655290505
583,Rb2MnSnCl6,7.087896953,7.543798473,-1.640175505,Rb,Rb,Mn,Sn,Cl,-6.043394738
589,Rb2NaRuF6,6.551202906,6.117244996,-2.616830365,Rb,Rb,Na,Ru,F,7.094008991
602,Rb2TiZnF6,6.419044649,5.994037578,-2.847953681,Rb,Rb,Ti,Zn,F,7.090497273
605,Rb2V_CoF6,6.458642629,5.938297143,-2.631804535,Rb,Rb,V,Co,F,8.762537028
606,Rb2V_FeF6,6.472784764,5.958248023,-2.684632738,Rb,Rb,V,Fe,F,8.635705312
607,Rb2V_NiF6,6.402074086,5.928082865,-2.625691049,Rb,Rb,V,Ni,F,7.995691555
609,Rb2V_SnF6,6.841894504,6.33266061,-2.753161828,Rb,Rb,V,Sn,F,8.041389321
610,Rb2V_SrCl6,8.062360808,7.532170869,-2.070141677,Rb,Rb,V,Sr,Cl,7.039005729
611,Rb2V_SrF6,6.972002152,6.346289476,-3.234933131,Rb,Rb,V,Sr,F,9.859504177
625,RbBaLiV_F6,6.295300962,5.863542609,-3.276510395,Rb,Ba,Li,V,F,7.363438484
635,RbBaTiCuF6,6.578143675,6.093427136,-2.869401204,Rb,Ba,Ti,Cu,F,7.954744156
636,RbBaV_AgF6,6.863814814,6.246453098,-2.795723837,Rb,Ba,V,Ag,F,9.883396326
643,RbK_BeBaCl6,6.906948328,7.491049187,-2.002837486,Rb,K,Be,Ba,Cl,-7.797317097
644,RbK_BePbCl6,6.765526972,7.301154044,-1.62552427,Rb,K,Be,Pb,Cl,-7.336197384
645,RbK_CaCdCl6,7.157264128,7.551525402,-2.021656765,Rb,K,Ca,Cd,Cl,-5.220948789
648,RbK_CaMnCl6,7.027156481,7.39928651,-2.044948703,Rb,K,Ca,Mn,Cl,-5.029269086
653,RbK_CaTiF6,6.710372643,6.17927627,-3.330810611,Rb,K,Ca,Ti,F,8.594798967
654,RbK_CaV_Cl6,7.86437091,7.333042621,-2.051379937,Rb,K,Ca,V,Cl,7.245672996
655,RbK_CaV_F6,6.724514778,6.13212721,-3.27047433,Rb,K,Ca,V,F,9.660392678
674,RbK_CuRuF6,6.453622171,5.973600498,-2.206147205,Rb,K,Cu,Ru,F,8.035717708
676,RbK_FeCdCl6,6.848965572,7.238894168,-1.486916283,Rb,K,Fe,Cd,Cl,-5.38657683
728,RbK_RuAgF6,6.711009039,6.241156567,-2.198667327,Rb,K,Ru,Ag,F,7.528291703
732,RbK_TiFeF6,6.450157347,5.957854258,-2.80294504,Rb,K,Ti,Fe,F,8.263093854
733,RbK_TiNiF6,6.376618242,5.958927833,-2.762357753,Rb,K,Ti,Ni,F,7.009489303
735,RbK_TiSnF6,6.827752368,6.367368022,-2.813594295,Rb,K,Ti,Sn,F,7.230371237
740,RbK_V_PbCl6,8.09064508,7.532157833,-1.649149621,Rb,K,V,Pb,Cl,7.414704516
741,RbK_V_PtF6,6.503897463,6.174909697,-2.354320752,Rb,K,V,Pt,F,5.327815015
